Data_ID,Country_Code,Year,Country,Area_Harvested_ha,Production_tonnes,Yield_hg_per_ha,GDP,Mortalilty,Fertility,Population,Trade_Import,Trade_Export,Total_Violent_fatalities
139,SYR,1987,Syria,4115824,7946286,4612533,896.5299193,5.038,5.963,11361,0,0,0
140,SYR,1988,Syria,4409653,11428381,4951474,1018.890971,4.842,5.748,11719,0,0,0
141,SYR,1989,Syria,5519530,6444836,4618615,852.0536852,4.665,5.529,12080,0,0,0
142,SYR,1990,Syria,5458516,8585922,4872132,896.9557688,4.509,5.313,12446,0,0,0
143,SYR,1991,Syria,4821763,9041667,5182906,971.2197294,4.372,5.11,12815,0,0,0
144,SYR,1992,Syria,5122871,11700910,5459377,1095.392042,4.255,4.925,13187,0,0,0
145,SYR,1993,Syria,4926031,12029861,5780401,1146.749317,4.153,4.76,13564,0,0,0
146,SYR,1994,Syria,4812498,12481853,5959420,889.7765044,4.066,4.618,13950,0,0,0
147,SYR,1995,Syria,5022567,13346203,6113502,944.3191144,3.991,4.495,14345,0,0,0
148,SYR,1996,Syria,4617061,13662847,6354155,1026.708983,3.925,4.386,14755,0,0,15
149,SYR,1997,Syria,4807829,11786493,6072371,1066.238375,3.867,4.282,15177,0,0,2
150,SYR,1998,Syria,4847137,14356161,6114591,1119.609061,3.815,4.178,15602,0,0,0
151,SYR,1999,Syria,4483190,11170830,6389117,1111.778568,3.767,4.07,16016,0,0,0
152,SYR,2000,Syria,4538325,12210932,6445536,1198.336454,3.716,3.958,16411,0,0,0
153,SYR,2001,Syria,4566980,13592380,6511534,1252.964313,3.651,3.841,16767,4553495678,547966607,0
154,SYR,2002,Syria,4571388,15317595,7412594,1274.705738,3.576,3.723,17088,4487752559,6536362540,0
155,SYR,2003,Syria,4669451,15099872,7397971,1197.659192,3.497,3.609,17415,511633984,573663424,0
156,SYR,2004,Syria,4765864,15296586,7599183,1378.463951,3.427,3.499,17807,74883724,5382567352,7
157,SYR,2005,Syria,4889827,15235911,7783517,1552.205537,3.396,3.399,18295,7897929801,6449881887,0
